Section 1 - Prélèvements et analyses
Prélèvement pour analyse microbiologique;N101;2.55;18.87
Prélèvement et examen qualitatif des urines mi-jet par bandelette, avec enregistrement des résultats;N102;2.55;18.87
Prélèvement de selles pour analyses;N103;2.55;18.87
Prélèvement de sang capillaire pour analyse autre que la glycémie;N104;1.3;9.62
Prélèvement de sang capillaire et détermination de la glycémie des personnes diabétiques par glucomètre;N105;1.55;11.47
Prélèvement de sang veineux pour analyse effectuée au domicile de la personne protégée, en cas de nécessité médicale deffectuer le prélèvement au domicile certifiée sur l'ordonnance du médecin prescripteur;N106;2.56;18.94
Bilan hydrique des entrées et sorties;N107;3.82;28.26
Section 2 - Injections, perfusions, prises de sang;
Injection par dispositif implanté;N201;3.07;22.72
Perfusion par dispositif implanté;N202;5.5;40.7
Injection intraveineuse par ponction;N203;3.86;28.56
Injection intraveineuse sur cathéter en place;N204;2.55;18.87
Mise en place dune perfusion intraveineuse ou sous-cutanée (hypodermoclyse) par gravité ou par pompe;N205;5.27;38.99
Enlèvement dune perfusion intraveineuse ou sous-cutanée;N206;1.29;9.54
Changement du flacon dune perfusion;N207;2.55;18.87
Contrôle dune perfusion de longue durée par pompe, forfait par jour;N208;3.82;28.26
Prélèvement de sang capillaire et détermination de la glycémie des personnes diabétiques par glucomètre et injection sous-cutanée;N209;2.8;20.72
Injection sous-cutanée;N210;1.27;9.4
Injection intramusculaire ou intradermique;N211;1.82;13.47
Application de collyre ou de pommade ophtalmique à domicile, forfait par jour, en phase préopératoire en vue dune intervention relevant du domaine de la spécialité ophtalmologique et/ou en phase postopératoire pour une durée maximale de 15 jours pour une personne incapable de réaliser le geste de façon autonome;N212;2.55;18.87
Section 3 - Pansements;
Ablation de fils de suture ou dagrafes ou redon, nettoyage et pansement avec soins de plaie simple;N301;3.94;29.15
Pansement pour plaies simples;N302;2.67;19.76
Pansement dun doigt, d'un orteil, dune main, dun pied, avec bain médicamenteux préalable;N303;5.22;38.62
Pansement pour plaies avec dispositifs;N304;5.23;38.7
Pansement pour plaies multiples;N305;5.27;38.99
Détersion, débridement mécanique et pansement dune plaie nécrotique, dune lésion ulcérée ou dune brûlure étendue;N306;7.81;57.79
Bandage compressif ou bas de contention pour stase veineuse ou lymphatique pour affection aiguë dun membre;N307;1.27;9.4
Bandage compressif ou bas de contention pour stase veineuse ou lymphatique pour affection aiguë de deux membres;N308;2.55;18.87
Bain entier médicamenteux pour affection cutanée étendue;N309;5.09;37.66
Section 4 - Actes concernant l'appareil urinaire;
Cathétérisme vésical, mise en place ou changement dune sonde à demeure;N401;4.67;34.55
Cathétérisme vésical avec lavage de la vessie ou irrigation vésicale;N402;5.94;43.95
Lavage de la vessie sur sonde à demeure en place et/ou enlèvement de la sonde à demeure;N403;1.81;13.39
Changement ou vidange de matériel de stomie de lappareil urinaire;N404;3.05;22.57
Mise en place dun étui pénien auto-adhésif pour incontinence, maximum 3 séances par semaine;N405;3.08;22.79
Section 5 - Actes concernant l'appareil digestif;
Mise en place ou changement dune sonde gastrique;N501;3.93;29.08
Changement ou vidange de matériel de stomie de lappareil digestif;N502;3.05;22.57
Lavement évacuateur pour constipation neurogène ou mégacôlon; maximum 2 séances par semaine;N503;3.82;28.26
Evacuation manuelle pour fécalome y compris lavement, maximum une fois par semaine;N504;6.36;47.06
Lavement évacuateur pour préparation à un examen du rectum, lavement médicamenteux non laxatif;N505;3.82;28.26
Branchement, débranchement et surveillance dune nutrition entérale (forfait journalier);N506;3.82;28.26
Section 6 - Lavage vaginal;
Lavage vaginal avec solution médicamenteuse en cas de pathologie infectieuse ou post-radique;N601;2.55;18.87
Section 7 - Actes concernant les voies respiratoires;
Traitement par aérosols; par séance;N701;3.82;28.26
Aspiration pour encombrement trachéo-bronchique chez le patient trachéotomisé;N702;2.55;18.87
Expectoration dirigée;N703;2.55;18.87
Oxygénothérapie: branchement, débranchement et surveillance (forfait par jour);N704;3.82;28.26
Section 8 - Actes infirmiers dans le cadre de l'assurance dépendance;
Forfait journalier dactes infirmiers prestés dans les maisons de soins;N801;1.92;14.21
Forfait journalier dactes infirmiers prestés dans les autres établissements daides et de soins;N802;0.96;7.1
Forfait journalier dactes infirmiers pour des personnes dépendantes à domicile prises en charge par les réseaux généralistes, indemnité de déplacement incluse;N803;2.2;16.28
Forfait journalier dactes infirmiers pour des personnes dépendantes à domicile prises en charge par les réseaux et les établissements relevant du secteur handicap, indemnité de déplacement incluse;N804;0.6;4.44
Tarifs spéciaux : Forfait journalier pour mesures de surveillance médicale accrue temporaire dans le cadre de l’épidémie COVID-19 pour des patients symptomatiques avec signes cliniques de gravité dans les établissements d’aides et de soins;N845;28;207.18
Section 9 - Mesures de paramètres en cas de surveillance médicale accrue temporaire;
Forfait de 1-2 passages par jour;N901;1.27;9.4
Forfait de 3-4 passages par jour;N902;2.55;18.87
Forfait pour un minimum de 5 passages par jour;N903;3.82;28.26
Section 10 - Mesures de décontamination;
Forfait unique pour procédure de décontamination pour patient atteint de gale (y compris masques, surblouses; surchaussures et gants);ND01;20;147.98
Forfait déplacement;NF01;1.11;8.21
